ticker,timeframe,date,future_vol_rmse,future_vol_accuracy,expansionP_accuracy,expansionP_roc_auc
LTC-USD,daily,2026-03-06,0.009970422737147088,0.7010309278350515,0.7468499427262314,0.837124735729387
LTC-USD,hourly,2026-03-06,0.0031307666556393285,0.7639947437582129,0.7839684625492772,0.8758251234875858
MNT-USD,daily,2026-03-06,0.01956488571570195,0.73,0.76,0.8535657051282052
MNT-USD,hourly,2026-03-06,0.0037887084773815,0.7588449531737773,0.768990634755463,0.8520375711412789
CRO-USD,daily,2026-03-06,0.014272258811494774,0.7549194991055456,0.7298747763864043,0.8274346518621327
CRO-USD,hourly,2026-03-06,0.004510385097250575,0.7628088426527958,0.7836150845253576,0.872527602371215
TON-USD,daily,2026-03-06,0.011712789455043452,0.6945244956772334,0.7204610951008645,0.8093096163020513
TON-USD,hourly,2026-03-06,0.00420126165622655,0.7475574333245313,0.776604172167943,0.8710198343126326
XMR-USD,daily,2026-03-06,0.010732957248746735,0.7694753577106518,0.7742448330683624,0.852409821772542
XMR-USD,hourly,2026-03-06,0.0030319635215900606,0.7682926829268293,0.7611346765641569,0.844184631678976
UNI-USD,daily,2026-03-06,0.014717720677345825,0.802439024390244,0.7951219512195122,0.8730011422044546
UNI-USD,hourly,2026-03-06,0.003834938744126473,0.7431074465343983,0.7833032723524864,0.8770184644191742
AAVE-USD,daily,2026-03-06,0.011316811193061486,0.7725,0.7775,0.8630249999999998
AAVE-USD,hourly,2026-03-06,0.002716016445039867,0.7608923884514436,0.8007874015748031,0.8901634108323563
ENA-USD,daily,2026-03-06,0.02028488484838466,0.673469387755102,0.6326530612244898,0.8367537313432836
ENA-USD,hourly,2026-03-06,0.003886503136242304,0.7056778679026651,0.7708574739281576,0.8652227408352342
NEAR-USD,daily,2026-03-06,0.012238444094193187,0.6723716381418093,0.7579462102689487,0.8205606582472253
NEAR-USD,hourly,2026-03-06,0.0031483600982857335,0.7317590872910587,0.7704961528256832,0.8666123257624
APT-USD,daily,2026-03-06,0.013033680065393335,0.7325581395348837,0.7596899224806202,0.8384712457184064
APT-USD,hourly,2026-03-06,0.0032017047449683853,0.7492105263157894,0.7705263157894737,0.8576177988937109
ASTER-USD,daily,2026-03-06,0.01856722615702332,0.8518518518518519,0.5925925925925926,0.5
ASTER-USD,hourly,2026-03-06,0.0024180797949516926,0.7204819277108434,0.7686746987951807,0.8463160987074032
LEO-USD,daily,2026-03-06,0.00858429736107058,0.7327272727272728,0.8036363636363636,0.8864112903225806
LEO-USD,hourly,2026-03-06,0.004728803644947062,0.6779240129128383,0.7742736528433076,0.8604177565110507
ZEC-USD,daily,2026-03-06,0.014196757460815751,0.7779527559055118,0.7448818897637796,0.8230340445936226
